Membership No  Date Joined  Active  
    16467      2018-12-1    no    
    52420      2020-3-8     yes   
    56100      2016-1-8     no    
    88701      2020-9-2     no    
    55526      2015-9-16    yes   
    10895      2018-7-18    yes   
    35599      2020-5-14    yes   
    95190      2017-1-24    yes   
    58365      2016-6-21    no    
    43464      2020-5-17    no    
    44148      2020-5-16    no    
    33576      2019-6-17    yes   
    55580      2017-6-12    yes   
    66609      2019-8-18    yes   
    65941      2016-12-24   yes   
    46793      2017-8-16    no    
    88082      2015-9-3     yes   
    97074      2020-7-5     yes   
    91669      2016-6-15    yes   
    10969      2018-4-19    yes   
